id,from,to,cost,nodes
0,1187045165,1187044390,31.83508795342161,"[u'1187045165', u'1187044390']"
1,1187044390,1187045165,31.835087953218682,"[u'1187044390', u'1187045165']"
2,1187044733,1797222842,18.420551085904275,"[u'1187044733', u'1797222842']"
3,1797222842,1187044733,18.42055108595995,"[u'1797222842', u'1187044733']"
4,1797222842,1187044863,223.38589799983626,"[u'1797222842', u'1187045164', u'1187044863']"
5,1187044863,1797222842,223.38589799962506,"[u'1187044863', u'1187045164', u'1797222842']"
6,1187044978,1187061183,289.2649347323978,"[u'1187044978', u'1187044726', u'1187061162', u'1187061194', u'1187061253', u'1187061223', u'1187061183']"
7,1187061183,1187044978,289.2649347326044,"[u'1187061183', u'1187061223', u'1187061253', u'1187061194', u'1187061162', u'1187044726', u'1187044978']"
8,1187061183,1187061255,531.323912816421,"[u'1187061183', u'1187061211', u'1187061243', u'1187061184', u'1187061149', u'1187061210', u'1187061174', u'1187061221', u'1187061161', u'1187061181', u'1187061236', u'3459182336', u'1187061255']"
9,1187061255,1187061183,531.3239128161333,"[u'1187061255', u'3459182336', u'1187061236', u'1187061181', u'1187061161', u'1187061221', u'1187061174', u'1187061210', u'1187061149', u'1187061184', u'1187061243', u'1187061211', u'1187061183']"
10,1187044372,1187044733,753.921554304838,"[u'1187044372', u'1187044733']"
11,1187044733,1187044372,753.9215543047433,"[u'1187044733', u'1187044372']"
12,1187045195,1187044749,163.4051291671678,"[u'1187045195', u'1187044507', u'1187044881', u'1751008985', u'1187044749']"
13,1187044749,1187045195,163.40512916733596,"[u'1187044749', u'1751008985', u'1187044881', u'1187044507', u'1187045195']"
14,1187044749,1187044372,11.341664495574877,"[u'1187044749', u'1187044372']"
15,1187044372,1187044749,11.341664495855746,"[u'1187044372', u'1187044749']"
16,1187044863,1187044978,32.41975175145253,"[u'1187044863', u'1187044978']"
17,1187044978,1187044863,32.419751751340634,"[u'1187044978', u'1187044863']"
18,1187044987,499158786,165.0709389198688,"[u'1187044987', u'1751008982', u'1187045087', u'1187044775', u'499158786']"
