id,category,distance,nodes,strnodes
0,trunk,31.835087953421606,"[u'1187045165', u'1187044390']",^31.2852686^121.2050544^31.2850803^121.2053068
1,trunk,31.83508795321868,"[u'1187044390', u'1187045165']",^31.2850803^121.2053068^31.2852686^121.2050544
2,trunk,18.420551085904275,"[u'1187044733', u'1797222842']",^31.283759000000003^121.2073371^31.2838677^121.2071908
3,trunk,18.42055108595995,"[u'1797222842', u'1187044733']",^31.2838677^121.2071908^31.283759000000003^121.2073371
4,trunk,223.38589799983623,"[u'1797222842', u'1187045164', u'1187044863']",^31.2838677^121.2071908^31.2844055^121.20646609999999^31.285195899999998^121.2054268
5,trunk,223.385897999625,"[u'1187044863', u'1187045164', u'1797222842']",^31.285195899999998^121.2054268^31.2844055^121.20646609999999^31.2838677^121.2071908
6,trunk,289.2649347323978,"[u'1187044978', u'1187044726', u'1187061162', u'1187061194', u'1187061253', u'1187061223', u'1187061183']",^31.2853859^121.205168^31.285672299999998^121.204776^31.285920500000003^121.2043947^31.286168^121.2039889^31.2864078^121.2035523^31.286625399999995^121.203107^31.286829100000002^121.20264820000001
7,trunk,289.2649347326044,"[u'1187061183', u'1187061223', u'1187061253', u'1187061194', u'1187061162', u'1187044726', u'1187044978']",^31.286829100000002^121.20264820000001^31.286625399999995^121.203107^31.2864078^121.2035523^31.286168^121.2039889^31.285920500000003^121.2043947^31.285672299999998^121.204776^31.2853859^121.205168
8,trunk,531.323912816421,"[u'1187061183', u'1187061211', u'1187061243', u'1187061184', u'1187061149', u'1187061210', u'1187061174', u'1187061221', u'1187061161', u'1187061181', u'1187061236', u'3459182336', u'1187061255']",^31.286829100000002^121.20264820000001^31.286999199999997^121.2021628^31.287160399999998^121.2016733^31.287289299999998^121.20118870000002^31.287401300000003^121.20068970000001^31.287483299999998^121.20018130000001^31.2875508^121.19967050000001^31.287589899999997^121.1991639^31.287603700000002^121.19865220000001^31.287596899999997^121.1981466^31.287573499999997^121.1976476^31.2875442^121.19726499999999^31.2875393^121.19720090000001
9,trunk,531.3239128161333,"[u'1187061255', u'3459182336', u'1187061236', u'1187061181', u'1187061161', u'1187061221', u'1187061174', u'1187061210', u'1187061149', u'1187061184', u'1187061243', u'1187061211', u'1187061183']",^31.2875393^121.19720090000001^31.2875442^121.19726499999999^31.287573499999997^121.1976476^31.287596899999997^121.1981466^31.287603700000002^121.19865220000001^31.287589899999997^121.1991639^31.2875508^121.19967050000001^31.287483299999998^121.20018130000001^31.287401300000003^121.20068970000001^31.287289299999998^121.20118870000002^31.287160399999998^121.2016733^31.286999199999997^121.2021628^31.286829100000002^121.20264820000001
