id,from,to,cost
0,28,16,31.835087953421606
1,16,28,31.83508795321868
2,19,1739,18.420551085904275
3,1739,19,18.42055108595995
4,1739,22,223.38589799983623
5,22,1739,223.385897999625
6,24,38,289.2649347323978
7,38,24,289.2649347326044
8,38,53,531.323912816421
9,53,38,531.3239128161333
10,15,19,753.921554304838
11,19,15,753.9215543047432
12,29,20,163.40512916716781
13,20,29,163.40512916733596
14,20,15,11.341664495574875
15,15,20,11.341664495855744
16,22,24,32.41975175145253
17,24,22,32.419751751340634
18,25,10,165.0709389198688
19,10,25,165.07093891953448
20,1,4,369.36750677085297
21,4,1,369.3675067708423
22,15,9,18.169385581461523
23,9,15,18.16938558169964
24,9,365,210.13676495263812
25,365,9,210.13676495242
26,365,308,101.13574538585935
27,308,365,101.1357453860998
28,320,316,28.67830564609081
29,316,320,28.67830564621193
30,0,298,20.86592395879044
31,298,0,20.86592395884276
32,319,292,690.7820048008168
33,292,319,690.7820048008839
34,307,1991,321.7611335277986
35,1991,307,321.7611335275938
36,1991,320,362.77523921472505
37,320,1991,362.7752392147095
38,303,1631,469.2767291623017
39,1631,303,469.27672916214965
40,1631,306,76.24293265461017
41,306,1631,76.24293265494963
42,298,1587,73.23043135885563
43,1587,298,73.2304313592434
44,1587,290,471.58662453376746
45,290,1587,471.58662453423483
46,301,319,27.783242064850022
47,319,301,27.783242065020307
48,306,294,20.617532157433036
49,294,306,20.617532157968505
50,294,1494,223.81427392598218
51,1494,294,223.8142739257929
52,1494,4141,14.27427563347506
53,4141,1494,14.274275633066845
54,4141,299,230.07896327790837
55,299,4141,230.0789632778705
56,290,307,24.534955308160647
57,307,290,24.534955308565344
58,309,4143,229.52129744069728
59,4143,309,229.52129744079463
60,4143,1478,14.733769171844651
61,1478,4143,14.733769171748605
62,1478,0,224.41788637885017
63,0,1478,224.4178863788173
64,25,20,18.237649014964894
65,20,25,18.237649014783734
66,20,301,105.79961213658777
67,301,20,105.79961213683178
68,292,303,23.189546701341
69,303,292,23.18954670146948
70,327,366,481.3678016106096
71,366,327,481.3678016110232
72,366,365,583.8234378982205
73,365,366,583.8234378981796
74,358,360,39.19664917770683
75,360,358,39.196649177690986
76,360,366,212.8161630914674
77,366,360,212.81616309150425
78,335,358,884.5081589212621
79,358,335,884.5081589214208
80,407,397,54.62916013844964
81,397,407,54.62916013849697
82,397,380,67.38273800981605
83,380,397,67.38273801002765
84,380,381,47.91581555283256
85,381,380,47.91581555283771
86,419,414,74.65505805480346
87,414,419,74.6550580547772
88,414,397,169.85215243829225
89,397,414,169.8521524383036
90,397,840,76.46145991712521
91,840,397,76.46145991733492
92,421,414,42.51835428664575
93,414,421,42.518354286734855
94,414,373,202.69780585570388
95,373,414,202.69780585534875
96,373,367,60.295707087235705
97,367,373,60.29570708709269
98,373,380,66.78551605106749
99,380,373,66.78551605094029
100,2490,741,5.552860078485587
