id,oneway,category,nodes
0,False,trunk,"[u'1187045165', u'1187044390']"
1,False,trunk,"[u'1187044390', u'1187045165']"
2,False,trunk,"[u'1187044733', u'1797222842']"
3,False,trunk,"[u'1797222842', u'1187044733']"
4,False,trunk,"[u'1797222842', u'1187045164', u'1187044863']"
5,False,trunk,"[u'1187044863', u'1187045164', u'1797222842']"
6,False,trunk,"[u'1187044978', u'1187044726', u'1187061162', u'1187061194', u'1187061253', u'1187061223', u'1187061183']"
7,False,trunk,"[u'1187061183', u'1187061223', u'1187061253', u'1187061194', u'1187061162', u'1187044726', u'1187044978']"
8,False,trunk,"[u'1187061183', u'1187061211', u'1187061243', u'1187061184', u'1187061149', u'1187061210', u'1187061174', u'1187061221', u'1187061161', u'1187061181', u'1187061236', u'3459182336', u'1187061255']"
9,False,trunk,"[u'1187061255', u'3459182336', u'1187061236', u'1187061181', u'1187061161', u'1187061221', u'1187061174', u'1187061210', u'1187061149', u'1187061184', u'1187061243', u'1187061211', u'1187061183']"
10,False,trunk,"[u'1187044372', u'1187044733']"
11,False,trunk,"[u'1187044733', u'1187044372']"
12,False,trunk,"[u'1187045195', u'1187044507', u'1187044881', u'1751008985', u'1187044749']"
13,False,trunk,"[u'1187044749', u'1751008985', u'1187044881', u'1187044507', u'1187045195']"
14,False,trunk,"[u'1187044749', u'1187044372']"
15,False,trunk,"[u'1187044372', u'1187044749']"
16,False,trunk,"[u'1187044863', u'1187044978']"
17,False,trunk,"[u'1187044978', u'1187044863']"
18,False,trunk,"[u'1187044987', u'1751008982', u'1187045087', u'1187044775', u'499158786']"
19,False,trunk,"[u'499158786', u'1187044775', u'1187045087', u'1751008982', u'1187044987']"
20,False,trunk,"[u'499158740', u'1187061213', u'499158746', u'1187061157', u'1187061177', u'499158754', u'1187061201', u'1187061232', u'499158759']"
21,False,trunk,"[u'499158759', u'1187061232', u'1187061201', u'499158754', u'1187061177', u'1187061157', u'499158746', u'1187061213', u'499158740']"
22,False,primary,"[u'1187044372', u'499158783']"
23,False,primary,"[u'499158783', u'1187044372']"
24,False,primary,"[u'499158783', u'1827278615', u'1455069223']"
25,False,primary,"[u'1455069223', u'1827278615', u'499158783']"
26,False,primary,"[u'1455069223', u'1827278612', u'1246570944']"
